YEAR,MONTH,DATE,STATE,DEP,ARR,APT_CODE
2017,OCT,2017-10-14,Greece,,,Rodos (LGRP)
2019,JUN,2019-06-09,Spain,1.0,1.0,Albacete (LEAB)
2020,,2020-12-07,Greece,81.0,85.0,Athens (LGAV)
2016,MAY,2016-05-01,Spain,,15.0,Santander (LEXJ)
2016,NOV,2016-11-18,Denmark,392.0,395.0,Copenhagen - Kastrup (EKCH)
2019,JAN,2019-01-06,Norway,2.0,2.0,Honningsvåg Valan (ENHV)
2018,OCT,2018-10-15,Spain,86.0,83.0,Tenerife Sur - Reina Sofia (GCTS)
2017,AUG,2017-08-16,Spain,58.0,,Fuerteventura (GCFV)
2018,DEC,2018-12-22,Switzerland,294.0,297.0,Geneva (LSGG)
2017,OCT,2017-10-18,Romania,11.0,,Bucharest - Băneasa (LRBS)
2018,APR,2018-04-03,Portugal,5.0,5.0,Horta (LPHR)
2018,APR,2018-04-22,Germany,,744.0,Frankfurt (EDDF)
2018,,2018-11-14,Switzerland,,196.0,Geneva (LSGG)
2021,FEB,2021-02-16,Spain,1.0,1.0,Albacete (LEAB)
2020,JUN,2020-06-13,Latvia,19.0,19.0,Riga (EVRA)
2022,FEB,2022-02-17,United Kingdom,176.0,172.0,London - Gatwick (EGKK)
2019,JAN,2019-01-17,France,2.0,3.0,Dinard-Pleurtuit-Saint-Malo (LFRD)
2021,DEC,2021-12-17,Morocco,,,Rabat-Salé (GMME)
2017,JUL,2017-07-06,Bosnia and Herzegovina,25.0,25.0,Sarajevo (LQSA)
2016,AUG,2016-08-03,France,2.0,,Annecy-Meythet (LFLP)
2017,,2017-01-31,France,3.0,4.0,Figari-Sud Corse (LFKF)
2018,MAR,2018-03-13,Germany,,645.0,Frankfurt (EDDF)
2016,FEB,2016-02-09,France,10.0,12.0,Metz-Nancy-Lorraine (LFJL)
2017,SEP,2017-09-21,Switzerland,273.0,261.0,Geneva (LSGG)
2020,OCT,2020-10-31,Norway,1.0,0.0,Mosjøen Kjærstad (ENMS)
2019,MAR,2019-03-17,Spain,129.0,,Tenerife Sur - Reina Sofia (GCTS)
2020,AUG,2020-08-28,Greece,29.0,29.0,Khania - Souda (LGSA)
2021,AUG,2021-08-31,France,26.0,23.0,Perpignan-Rivesaltes (LFMP)
2019,JAN,2019-01-29,Morocco,95.0,97.0,Mohammed V International (GMMN)
2021,OCT,2021-10-28,France,149.0,155.0,Nice-Côte d’Azur (LFMN)
2021,SEP,2021-09-21,Norway,66.0,,Bodø (ENBO)
2017,SEP,2017-09-08,France,154.0,156.0,Marseille-Provence (LFML)
2022,JAN,2022-01-01,Greece,2.0,,Kos (LGKO)
2019,MAR,2019-03-14,Armenia,24.0,23.0,Yerevan (UDYZ)
2018,MAR,2018-03-24,France,,,Pau-Pyrénées (LFBP)
2017,AUG,2017-08-04,France,1.0,1.0,Le Havre-Octeville (LFOH)
2018,DEC,2018-12-27,Spain,30.0,30.0,La Palma (GCLA)
