YEAR,MONTH,DATE,STATE,DEP,ARR,APT_CODE
2020,MAY,2020-05-18,France,1,1,Saint-Etienne-Bouthéon (LFMH)
2021,NOV,2021-11-20,Türkiye,287,291,Istanbul Sabiha Gökçen (LTFJ)
2021,JAN,2021-01-29,Italy,18,19,Venice (LIPZ)
2017,OCT,2017-10-14,Greece,106,105,Rodos (LGRP)
2019,JUN,2019-06-09,Spain,1,1,Albacete (LEAB)
2020,DEC,2020-12-07,Greece,81,85,Athens (LGAV)
2016,MAY,2016-05-01,Spain,14,15,Santander (LEXJ)
2016,NOV,2016-11-18,Denmark,392,395,Copenhagen - Kastrup (EKCH)
2019,JAN,2019-01-06,Norway,2,2,Honningsvåg Valan (ENHV)
2018,OCT,2018-10-15,Spain,86,83,Tenerife Sur - Reina Sofia (GCTS)
2017,AUG,2017-08-16,Spain,58,59,Fuerteventura (GCFV)
2018,DEC,2018-12-22,Switzerland,294,297,Geneva (LSGG)
2017,OCT,2017-10-18,Romania,11,7,Bucharest - Băneasa (LRBS)
2018,APR,2018-04-03,Portugal,5,5,Horta (LPHR)
2018,APR,2018-04-22,Germany,736,744,Frankfurt (EDDF)
2018,NOV,2018-11-14,Switzerland,203,196,Geneva (LSGG)
2021,FEB,2021-02-16,Spain,1,1,Albacete (LEAB)
2020,JUN,2020-06-13,Latvia,19,19,Riga (EVRA)
2022,FEB,2022-02-17,United Kingdom,176,172,London - Gatwick (EGKK)
2019,JAN,2019-01-17,France,2,3,Dinard-Pleurtuit-Saint-Malo (LFRD)
2021,DEC,2021-12-17,Morocco,9,11,Rabat-Salé (GMME)
2017,JUL,2017-07-06,Bosnia and Herzegovina,25,25,Sarajevo (LQSA)
2016,AUG,2016-08-03,France,2,1,Annecy-Meythet (LFLP)
2017,JAN,2017-01-31,France,3,4,Figari-Sud Corse (LFKF)
2018,MAR,2018-03-13,Germany,647,645,Frankfurt (EDDF)
2016,FEB,2016-02-09,France,10,12,Metz-Nancy-Lorraine (LFJL)
2017,SEP,2017-09-21,Switzerland,273,261,Geneva (LSGG)
2020,OCT,2020-10-31,Norway,1,0,Mosjøen Kjærstad (ENMS)
2019,MAR,2019-03-17,Spain,129,125,Tenerife Sur - Reina Sofia (GCTS)
2020,AUG,2020-08-28,Greece,29,29,Khania - Souda (LGSA)
2021,AUG,2021-08-31,France,26,23,Perpignan-Rivesaltes (LFMP)
2019,JAN,2019-01-29,Morocco,95,97,Mohammed V International (GMMN)
2021,OCT,2021-10-28,France,149,155,Nice-Côte d’Azur (LFMN)
2021,SEP,2021-09-21,Norway,66,66,Bodø (ENBO)
2017,SEP,2017-09-08,France,154,156,Marseille-Provence (LFML)
2022,JAN,2022-01-01,Greece,2,2,Kos (LGKO)
2019,MAR,2019-03-14,Armenia,24,23,Yerevan (UDYZ)
2018,MAR,2018-03-24,France,10,11,Pau-Pyrénées (LFBP)
2017,AUG,2017-08-04,France,1,1,Le Havre-Octeville (LFOH)
2018,DEC,2018-12-27,Spain,30,30,La Palma (GCLA)
2018,NOV,2018-11-18,Italy,407,397,Rome - Fiumicino (LIRF)
2022,JAN,2022-01-11,France,2,2,Dôle-Tavaux (LFGJ)
2020,MAY,2020-05-10,Poland,3,5,Katowice - Pyrzowice (EPKT)
2018,DEC,2018-12-24,Poland,13,12,Warszawa - Modlin (EPMO)
2020,JUL,2020-07-01,Spain,5,5,Hierro (GCHI)
2017,DEC,2017-12-24,Portugal,4,4,Horta (LPHR)
2017,NOV,2017-11-05,Italy,69,65,Rome - Ciampino (LIRA)
2016,DEC,2016-12-31,France,2,2,Carcassonne-Salvaza (LFMK)
2017,DEC,2017-12-29,Germany,203,200,Dusseldorf (EDDL)
2021,SEP,2021-09-17,Belgium,84,81,Charleroi (EBCI)
2020,AUG,2020-08-16,Czech Republic,89,92,Prague (LKPR)
2016,JAN,2016-01-09,Poland,7,7,Szczecin - Goleniów (EPSC)
2017,SEP,2017-09-28,France,31,32,Beauvais-Tillé (LFOB)
2018,FEB,2018-02-24,France,11,9,Clermont-Ferrand-Auvergne (LFLC)
2022,MAR,2022-03-02,Lithuania,33,35,Vilnius (EYVI)
